id,pca_features
18,"[-1.04036108389,1.01430338492,-0.793186447928,-3.24205859094,-3.67533601227,0.909297082803,-2.29025208184,2.24993528195,-0.472187945742,0.687994827128,0.76612000323,2.04973886107,1.3795112318,-0.817633790482,-2.04854042388,1.53842616277,-0.207703754921,0.154000569981,0.405512952124,0.384030726902,0.0332180514973,-0.895987869977,-0.282235507212,-0.939610568327,-1.31752181944,-0.448917622802,-0.0197092497206,-0.423130570717,-0.325430195662,-0.0286416737636,0.598371776475,0.243637667249,-0.410047046907,0.176835227074,-0.130406353247,-0.0377797507548,0.48758876052,-0.0109087553968,-0.277793409048,-0.302937038067,0.158839612668,-0.0958547197406,-0.0922425542322,-0.135125716836,0.0603653596496,0.242481279874,0.0970051531464,-0.118006563459,0.399799188609,0.0506186766782]"
19,"[-3.23158515958,2.53350141489,-1.04972008803,-2.03206546396,-1.82132016945,-0.407137376295,0.634123111914,0.151281982576,-3.53278817128,1.4434060872,0.972314265279,1.19221534626,1.55921124995,-1.52342289924,-2.04583826278,0.821103616776,-0.91005438922,0.0295995993539,1.0436541349,-0.0660373183225,1.12267693119,-1.18202402933,0.581613262198,-0.0337663323977,-0.877428038839,0.0614001968718,-0.256040033008,0.608491842561,0.332619344613,0.627446277279,0.56241132037,0.398556066767,0.608480667662,0.454420405729,-0.783559116223,-0.327603969858,-0.245453673701,-0.814055157532,-0.00339627245338,0.489277860021,-0.14259452796,-0.320939577218,0.406397333609,-0.329898812167,-0.256265038739,-0.48758626266,-0.596778227935,-0.430813671305,-0.240823186275,-0.721201440584]"
20,"[-3.58280117055,2.42720124451,-0.781777024693,-1.85663794933,-1.68159767192,-0.0335114628366,0.234473522466,0.775264861002,-4.00019636659,1.4632768925,0.577971232321,1.51645275696,1.65669555244,-1.08389981126,-2.3751626464,0.358073008101,-0.358942450065,-0.29544143424,0.756472523818,0.279901088548,0.777604785207,-1.17333479961,0.474157990027,0.260553965847,-1.2602718285,-0.151101004181,0.128745728958,0.861045574124,0.378281460935,0.286829519816,0.63371216675,0.321648540318,0.54158730297,0.802197152385,-0.543930018076,-0.187915550203,-0.215892355946,-0.586264818325,-0.436034085327,0.509504163492,-0.204704950246,-0.0823381633746,0.601316786207,-0.328492533812,-0.621859560467,-0.453459914768,-0.499257577939,-0.397044316675,0.0191024374116,-0.502594602773]"
21,"[-1.2477620766,0.917368341386,-0.733994176552,-3.29413877602,-3.93742902812,0.457267101702,-2.03675402716,1.60002671924,-0.687766643432,0.553093163096,1.27137650571,1.57286987161,1.41371942746,-0.827720183754,-1.40687907677,2.09009575894,-0.28632018014,0.917831545857,0.853586616534,0.680787001262,-0.327457895976,-1.2805219131,0.180646433161,0.196666792797,-0.847865017006,0.411697202002,0.326631971123,-0.749823171728,-0.269641390032,-0.147162830908,1.14418485385,-0.115796337147,-0.128268790631,0.249088702995,-0.222878391085,0.452806340241,0.338604853985,0.59465275073,-0.0992274892036,-0.12760844168,0.565010195988,0.36782802596,0.299790702846,-0.0114574072604,0.0264102111799,0.0193073885226,0.1302935437,-0.307454297004,0.67296698785,-0.315269234697]"
22,"[-1.30653819249,0.953036067633,-0.735260269186,-3.10206500013,-3.72118757057,0.661776409833,-2.27832587643,2.00457062132,-0.800472146189,0.634965924416,0.77824959656,1.77243611644,1.35613671808,-0.807515855434,-1.90144574894,1.5527390196,-0.0749794535804,0.519058157519,0.530723861053,0.812111198692,-0.733803668788,-0.967813995809,0.169473761341,-0.0515438200181,-1.14527615705,0.268925546664,0.214741778564,-0.429992172194,-0.156433502106,-0.092898510845,1.1396831568,-0.452771606989,-0.122969695614,0.199608632232,-0.233495747155,0.40693825777,0.387610138839,0.420234743234,-0.204106629998,-0.199436929917,0.517210271907,0.292115180901,0.258353876057,-0.138498837503,-0.0452255405768,-0.063617487757,0.0868573386201,-0.126122402965,0.538713291124,-0.048649643643]"
23,"[-2.86543457873,0.674702431778,-0.0081499248034,-2.26774425644,-0.173303818265,0.100292338475,-2.15544061536,-2.60791800296,-2.94236072081,0.650272745587,-0.576637043894,2.28476684625,1.54112701173,-0.511178966055,-1.16644328413,0.64523742158,-3.09113123389,0.842603886634,1.18589733538,1.31714616694,-0.0562967963358,-0.198146710391,0.20547191915,-0.096093408093,-0.028900022691,-0.831665835837,-0.990282785432,-0.917083546003,-0.383352078719,0.461940255317,0.664879171105,-1.12938441374,-0.241069717848,-0.562167616275,0.636499555861,-0.300756939,-0.191113582423,0.587886258795,0.233781795962,-0.180824700378,0.845083757697,0.532237991464,-0.300420244532,-0.720722472378,0.00985967795494,0.480177714922,0.740855107575,-0.936004081191,-0.111474411015,-0.525109108525]"
24,"[-2.95746180709,0.670749427803,0.0425928476064,-2.00325964107,-0.120749385207,0.446794303726,-2.33167156334,-1.98911637572,-3.09649566512,0.658462801507,-1.11938102286,2.58109531624,1.51281971198,-0.234758711474,-1.61632046624,0.220040226215,-2.7647307987,0.201022617448,0.960698660839,1.49058231783,-0.526535237093,0.171131884235,0.0972688482289,-0.376567329876,-0.37389899716,-0.936557657651,-1.00253378606,-0.747450432348,-0.311007037713,0.254422783684,0.773671749473,-1.14384667496,-0.318957924929,-0.688585059534,0.667168869011,-0.34089570829,-0.0795456527283,0.333788160163,-0.209585937974,-0.0477542713696,0.621422128055,0.624563510443,-0.493843244218,-0.593964410738,0.0142277414634,0.699084820091,0.949945916964,-0.895765010347,-0.00981028407856,-0.115864101402]"
25,"[-3.68269003502,3.61425926117,-0.968755662316,-2.19280907314,-0.120278942352,0.264438133264,1.54434428325,1.11485460268,-1.25144869872,2.73363532778,-0.913488725498,0.403125819561,1.62718023095,-0.185488601991,-1.90919399063,2.86565951647,-1.0195019332,-0.24428945967,0.545852284661,1.773904641,-0.216547056699,-0.902000900945,-1.09805090234,0.0481120804021,0.576860764585,0.0893317087608,-0.342967523519,-0.0135109577214,-0.78801217249,-0.365590571273,0.134467754527,0.183235807581,0.572367944407,0.651160763979,-0.290625955094,0.681861951612,0.489374383092,0.0678486814316,0.172024098878,0.209701234677,0.21269521656,-0.0553043055046,-0.242777640869,-0.201682353938,0.200982888594,0.101707670447,-0.245175809803,-0.15281169746,0.239866291857,-0.601200259375]"
26,"[-3.8720342493,3.86708768832,-0.503209212431,-2.06864113669,-0.144925647253,0.250735273029,0.821242041079,1.33473211517,-1.15993616311,2.56508461123,-1.44050053703,0.715769298325,1.47559116822,-0.333296921789,-2.11490761373,2.2394345339,-0.74544310781,-0.761199749037,0.0186927769638,1.92700458892,-0.72300667106,-0.730869902512,-0.959347839866,-0.384550487902,0.100413324969,0.0794187946297,-0.353772039852,0.240760379111,-0.574513997957,-0.321497517825,0.424949873927,-0.212027637695,0.71728611727,0.661183267059,-0.317160441857,0.453315851015,0.76056499506,0.00171279415224,0.0209123432071,0.2973761943,-0.157191701414,0.0668649650478,-0.268562728594,-0.187482650028,-0.17370056269,0.259376432719,-0.555524809824,0.0480828994685,0.215788184713,-0.136515796402]"
27,"[-5.18760564116,1.04535762748,0.782893189618,-2.20564932926,0.0694467010042,0.677812674457,-1.88863100258,0.293319404778,-1.44564255008,1.57049757938,0.889980376796,-1.6935433537,1.65898107012,-1.69328149804,-1.42361852302,1.65663328222,-1.51791069261,0.367392439903,-0.117943318179,1.10853674014,-0.712085608452,-1.13748401694,-0.601961035953,-1.1093098194,-0.239987657123,-0.0440688675425,-0.305275044,-0.669506966402,0.211136844412,-0.249240553262,0.0302007174656,-0.633784993582,0.525594164516,1.05840218569,0.121716822083,-0.212459174065,-1.20980733985,0.633610232879,0.427874012636,-0.0516124258537,-0.706696184783,-1.06626904456,-0.783133118718,0.286606462063,0.232648799686,-0.00873525940735,-0.168263100495,-0.595715792055,-0.189423128961,0.979554966855]"
28,"[-5.34444467159,1.19978624709,1.0396464406,-1.96226294647,0.0936874003241,0.943629347179,-2.23648733547,0.74447310739,-1.5104027241,1.58648363929,0.311486702625,-1.09544790581,1.58897527089,-1.36112470736,-1.98729297003,1.12374691412,-1.21096291344,-0.0880206944473,-0.556854311765,1.21116471987,-1.1254814508,-0.809391978946,-0.711953220068,-1.25439783525,-0.309320336535,-0.0063482224184,-0.496543667877,-0.528853236486,0.218996048555,-0.134804412828,0.261840355905,-0.725484164305,0.578480949547,1.02679461993,-0.0457263721125,-0.353362587105,-1.02919579874,0.54496219277,0.227617110539,0.141862941275,-0.844221678732,-1.03140798059,-0.63130454042,0.182405798403,0.0644520497166,-0.0642255071211,-0.242207711984,-0.740654016657,-0.225515041045,1.01143225405]"
29,"[-3.53741979103,1.47538067492,-1.0427767485,-2.35722131847,-0.942097059886,-0.156350697212,-0.255347437048,-0.200205911894,-3.3315491722,1.31962937579,0.136268491028,0.185490445723,1.95939995306,-1.75347916614,-1.27569009247,0.436181020461,-1.74472890993,1.71190182095,0.717316851516,2.15149641434,0.32736920212,-0.547653002899,0.312076846109,-0.994803759945,-0.380401489546,0.081602565699,-0.255028976504,0.852843355582,1.10096749805,1.37235913917,-0.0973678161818,1.45767789669,0.940951681131,0.0765585483755,-0.91067511068,-0.677874747289,0.370464609153,0.359749582227,0.835706992808,0.0693590355764,-0.0300429300194,-0.0441979640642,0.249722835181,-0.529107321383,-0.340811718558,-0.415599678899,0.714051808424,-0.0980791270283,-0.545290345486,0.383234831629]"
30,"[-3.60080630832,1.43330565125,-1.31108126236,-2.19957915472,-0.785791615835,-0.135876013725,-0.348881596894,0.00205018002687,-3.35451755939,1.20450853824,-0.0646052971217,0.162788189284,2.10364121727,-1.80846588574,-1.34569115911,0.533348163079,-1.46319826593,1.42908309725,0.491245556495,2.0821532463,0.220117152745,-0.399692418721,0.116543029666,-1.05412057042,-0.201665328557,0.0648067234514,-0.285630781763,0.801725577597,1.06543247267,1.24052915243,-0.129646003111,1.53839180522,0.946530459479,-0.0592644570251,-1.03267070949,-0.570805943582,0.344449396906,0.178786127568,0.670900645268,0.0856369864164,-0.368572286599,0.0281323053004,0.205288184133,-0.808669494054,-0.372390764261,-0.29467326012,0.753862422079,-0.00638295477918,-0.287738182794,0.481489142731]"
31,"[-7.45164724862,2.4136135668,-0.109933476035,-0.767715397691,-0.398270320583,0.499263829871,-2.09319833999,0.935299361166,-2.70815261242,0.951775320443,-1.45507919366,1.21515206151,1.04565208286,-2.444453089,-0.453937384969,0.649735574306,-1.7262597432,0.327458589009,-0.0568139531266,1.23845102165,-0.604794819884,-0.88765627958,0.17689301872,-1.39424096582,-0.0776512360274,0.154595770995,0.67993175557,0.326389876147,1.56258933151,1.84237218224,-0.487915043383,1.08332088007,-0.29407455939,0.628883410578,-0.934114893227,-0.307170852487,0.806811084162,0.276641265664,-0.108407642866,-0.445187476826,-0.595860222961,-0.438863523031,0.297622148523,0.267967914222,0.237700323436,0.68050823963,0.172738199566,0.0814648458827,0.561906825614,0.206065377979]"
32,"[-3.41962242692,1.65761225081,-1.08285911041,-2.35506173946,-0.704133310165,0.101839398862,-0.464895951222,-0.472105645443,-2.96069751025,1.13563831736,-0.106205635142,0.536078571761,1.9605020764,-1.76220219731,-1.56125265954,0.351468787385,-1.56735656228,2.06475396141,0.62397319766,1.76085312163,0.0915719903987,-0.755912840147,0.624287936403,-0.821333013469,-0.189961967913,-0.145425014516,-0.1058958647,0.822410940328,1.18936070104,1.52377037834,-0.141410988082,1.08553640709,0.455286508704,0.387728900845,-1.64771591863,-0.202013113349,0.509976828057,0.3918132879,0.965853625155,-0.365582348339,-0.0835580543707,0.0455990290215,0.479337974906,-0.91787797504,-0.217848405929,-0.425745756518,1.04460485978,0.658377669999,-0.01693045145,0.738868885429]"
33,"[-3.49541837764,1.54132224868,-1.26507871446,-2.26805978108,-0.686058743436,0.000346862340305,-0.441798692139,-0.319967570139,-3.01418804716,1.13209121188,-0.214658828069,0.516429352415,2.05557949578,-1.78567302745,-1.61601495895,0.410903192551,-1.21837737894,1.89228394091,0.596028870635,1.64436683702,-0.163120120362,-0.76562833113,0.340803880072,-0.854991463312,0.00113641864818,-0.116677158928,-0.0952523884808,0.770151307269,1.15687387211,1.27072521055,-0.0794826096439,1.10269883346,0.509466618752,0.431477899691,-1.76342397312,-0.343955688649,0.446794375909,0.285676226684,0.768113744141,-0.289761195249,-0.237904568922,0.206882963385,0.49693023832,-0.84670212378,-0.378007893121,-0.418175603763,0.999068075323,0.554600364482,0.269474757933,0.630634473014]"
34,"[-7.41236014728,2.4809152192,-0.0785922495879,-0.838593334861,-0.376158241319,0.620495493658,-2.04697829775,0.566153664473,-2.66648893585,0.877501224419,-1.45063075358,1.58933246479,1.00442556836,-2.37128098499,-0.539072575933,0.50866652268,-1.76298957287,0.470639331487,-0.0215285443492,1.12816868427,-0.78065486553,-1.08273795857,0.396493480677,-1.14293044454,-0.0626793829499,0.235953535736,0.757797311142,0.24761054572,1.61934818725,1.79572618767,-0.445989879948,0.95498821666,-0.560988865576,0.746115116943,-1.58822341862,-0.259398751157,0.823563780991,0.356097436671,-0.135959722475,-0.518522451213,-0.512716434235,-0.568211159143,0.416932813038,0.54992019279,0.172142880542,0.483468295216,0.497972058653,0.297337688644,0.663659842421,0.0213067166891]"
35,"[-4.48021271484,7.48714121167,-0.886124963485,-0.916339949764,0.579966292167,-0.260658102872,-0.225166627593,1.96623490393,-1.6168151352,-0.276259781861,0.541906790878,0.453247589144,1.19187778871,-2.78428133799,-0.913279056793,0.868789286062,-0.745209903538,-0.261612700396,2.37537060548,0.966497001513,-0.499307724119,-0.796638063622,-0.504085539091,0.06416030396,1.27022493751,-0.181052717552,0.38280003238,-0.825321664309,-0.809335723752,-0.415409185961,0.910242053551,0.227559622831,0.561499868165,-0.433360466488,0.162297149864,0.0890077425873,-0.883226972405,0.118120307882,0.230236848265,-0.0122947944371,-0.753156942367,0.92450112033,0.849047747354,0.0871071641309,-0.962886297675,0.0695787746866,0.0631544511699,0.325057685812,-0.157379616653,-0.164312965167]"
36,"[-4.67255639846,7.37069403632,-0.646030926627,-0.700040833335,0.526299935068,-0.0743389337481,-0.711298833723,2.12766227165,-1.72810440103,-0.0396008459015,-0.302765273478,0.798581691116,1.16870107176,-2.50544078338,-1.53611782053,0.360625944472,-0.303559251933,-0.737465860791,1.92603389519,0.860922324382,-0.659801900221,-0.758695227574,-0.62624860947,-0.209371703249,0.700738806496,-0.535145052758,0.187346154005,-0.681457114036,-0.603064935551,-0.269568467281,1.07164662488,-0.063613027642,0.628789841989,-0.408000286522,0.117269330619,-0.140363346508,-0.814385942382,-0.0110923342338,0.0853885110374,-0.114062986504,-0.964017152058,0.479741503571,0.741053771034,0.107471332077,-0.861975220967,-0.225549664117,0.063349481702,0.678680743532,-0.0592157394511,-0.0411838645216]"
